"","Hidalgo","Mexico","Puebla","Queretaro","San Luis Potosi","Tlaxcala","Veracruz","Total"
"2009-01-01"," 1","10"," 0"," 0","13"," 0","12","36"
"2009-02-01"," 5"," 9"," 2"," 0"," 0"," 4"," 8","28"
"2009-03-01"," 24"," 59","  1","  0","  1"," 29"," 17","131"
"2009-04-01","198"," 53"," 53"," 64"," 79"," 26","148","621"
"2009-05-01"," 254","  25"," 111","  98","  40","  23","1935","2486"
"2009-06-01","  17","   0","  10","  44","   3","   0","1613","1687"
"2009-07-01","  12","   0","  88","  46","  70","   0","1693","1909"
"2009-08-01"," 58","  4","117"," 56"," 46","  3","702","986"
"2009-09-01"," 741","1049","1150","1144"," 391","  12","1722","6209"
"2009-10-01"," 775","1162","1628","1775"," 347","  12","2012","7711"
"2009-11-01"," 473"," 794"," 503","1693"," 304","   0"," 877","4644"
"2009-12-01"," 325"," 233"," 311"," 835"," 275","  48"," 469","2496"
"2010-01-01","  91"," 115"," 135"," 440","  87"," 113","  98","1079"
"2010-02-01"," 36"," 83"," 94","318"," 49","108","113","801"
"2010-03-01"," 48"," 87","274","211"," 61"," 85","173","939"
"2010-04-01"," 21"," 31"," 88"," 66","  8"," 40"," 23","277"
"2010-05-01"," 15"," 25"," 51"," 29","  3"," 18","  7","148"
"2010-06-01","16","15","20","12"," 3","10","18","94"
"2010-07-01"," 9"," 9","10"," 5"," 2"," 5","10","50"
"2010-08-01"," 10","  3","  8"," 14","  3","  6"," 67","111"
"2010-09-01"," 21","  5"," 48","  3","172"," 13","505","767"
"2010-10-01"," 26","  6"," 95"," 19","141","  1","134","422"
"2010-11-01"," 28"," 44"," 19","132"," 79","  9","142","453"
"2010-12-01","  57"," 211","  59"," 654"," 394","  20"," 105","1500"
"2011-01-01"," 41"," 88"," 39"," 55"," 98","  5"," 34","360"
"2011-02-01"," 10"," 29","  1"," 28","  6","  0"," 29","103"
"2011-03-01","11"," 3"," 9"," 6","26"," 1","30","86"
"2011-04-01","  5"," 10"," 29","  6"," 15","  0"," 55","120"
"2011-05-01"," 1"," 5"," 8"," 3"," 5"," 0","18","40"
"2011-06-01"," 2"," 6"," 9"," 5"," 2"," 0","19","43"
"2011-07-01"," 2"," 5","17"," 0"," 1"," 0","20","45"
"2011-08-01"," 5"," 7","12"," 0"," 7"," 0","15","46"
"2011-09-01"," 3"," 5","18"," 2"," 8"," 0","18","54"
"2011-10-01"," 0"," 8","11"," 1","20"," 3","26","69"
"2011-11-01"," 56"," 19"," 19","  4"," 89","  1"," 51","239"
"2011-12-01"," 48","  9","210","  2"," 90"," 12"," 25","396"
"2012-01-01"," 680"," 273"," 154"," 200"," 250","  69"," 385","2011"
"2012-02-01"," 765"," 284","  48"," 571"," 764"," 153"," 362","2947"
"2012-03-01","114"," 47","  0","165","187"," 24"," 86","623"
"2012-04-01"," 30"," 24","  1"," 68"," 28","  6"," 48","205"
"2012-05-01"," 15","  6","  0","  6"," 64","  4"," 50","145"
"2012-06-01","11","14"," 0"," 5","16"," 6","18","70"
"2012-07-01"," 6","11"," 0","18","10"," 4","16","65"
"2012-08-01"," 14","  5","  1"," 71"," 38","  0"," 15","144"
"2012-09-01"," 18"," 10","  1","  4"," 21","  7"," 54","115"
"2012-10-01"," 45"," 18","  1"," 13"," 86"," 25","148","336"
"2012-11-01"," 67"," 29","  1"," 27"," 99"," 17","144","384"
"2012-12-01"," 82"," 50"," 21","124","130"," 33","102","542"
"2013-01-01","170","109"," 30","143","185"," 47","176","860"
"2013-02-01","200","131"," 70","148","130"," 71"," 96","846"
"2013-03-01","132"," 58"," 70","118","133"," 71"," 83","665"
"2013-04-01"," 68"," 24"," 50"," 51"," 55"," 49"," 43","340"
"2013-05-01"," 48"," 11"," 39"," 57"," 47"," 24"," 40","266"
"2013-06-01"," 37","  8"," 35"," 37"," 28"," 37"," 46","228"
"2013-07-01"," 38","  7"," 29"," 47"," 18"," 39","108","286"
"2013-08-01"," 36","  8"," 13"," 54"," 29"," 25"," 60","225"
"2013-09-01"," 46","  7"," 64"," 70"," 29"," 28"," 88","332"
"2013-10-01","154"," 14","118"," 96"," 55"," 72"," 61","570"
"2013-11-01","138"," 23"," 70","121","125"," 46"," 65","588"
"2013-12-01","174"," 52"," 46","194","288"," 24"," 59","837"
"2014-01-01","1041"," 666","  59","1258"," 803"," 231","  60","4118"
"2014-02-01"," 742"," 631"," 153"," 629"," 124"," 532","  77","2888"
"2014-03-01"," 295"," 238","  67"," 191","  41"," 236","  34","1102"
"2014-04-01","147"," 71"," 17","156"," 23"," 53"," 26","493"
"2014-05-01"," 85"," 24","  8"," 95"," 16"," 22","  8","258"
"2014-06-01"," 66"," 22","  4"," 77"," 23"," 16"," 15","223"
"2014-07-01"," 95"," 11"," 24"," 95"," 26"," 11"," 26","288"
"2014-08-01"," 77"," 13"," 14"," 70"," 24"," 14","  9","221"
"2014-09-01"," 93"," 13"," 18"," 77"," 41"," 11"," 16","269"
"2014-10-01","179"," 32"," 36","129"," 66"," 20"," 42","504"
"2014-11-01","231"," 47"," 68","179"," 62"," 51"," 35","673"
"2014-12-01"," 221","  90"," 124"," 381"," 136","  59","  23","1034"
"2015-01-01","277","115"," 43","268","156"," 39"," 78","976"
"2015-02-01","197"," 68"," 38","253"," 99"," 62"," 53","770"
"2015-03-01","140"," 48","  8","109"," 30"," 38"," 28","401"
"2015-04-01"," 83"," 21","  5"," 67"," 20"," 26"," 31","253"
"2015-05-01"," 40","  7","  9"," 38"," 23"," 17"," 47","181"
"2015-06-01"," 52"," 10"," 10"," 35"," 13"," 11"," 14","145"
"2015-07-01"," 78"," 14","  4"," 54"," 21"," 13"," 13","197"
"2015-08-01"," 61","  7","  6"," 54","  4"," 11","  3","146"
"2015-09-01"," 76","  3","  9"," 60"," 22","  6","  6","182"
"2015-10-01","157","  9"," 15"," 85"," 15"," 16","  4","301"
"2015-11-01","177"," 11"," 15"," 76"," 19"," 26"," 11","335"
"2015-12-01","195"," 39"," 26","122"," 33"," 38"," 20","473"
"2016-01-01","184"," 50","143","221","  8"," 34","186","826"
"2016-02-01","1206"," 766"," 566","1857"," 557"," 301"," 391","5644"
"2016-03-01"," 970"," 875"," 476","1200"," 708"," 468","1374","6071"
"2016-04-01","131"," 65"," 28","118"," 81"," 21","381","825"
"2016-05-01"," 47"," 16"," 14"," 90","  5","  7","192","371"
"2016-06-01"," 35"," 10","  8"," 63","  0","  6","222","344"
"2016-07-01"," 20"," 10","  2"," 56","  4","  3","158","253"
"2016-08-01"," 41","  6","  6"," 59","  0","  9","125","246"
"2016-09-01"," 45"," 15","  7"," 67","  0","  2","133","269"
"2016-10-01"," 73"," 25"," 22"," 62","  3","  2","189","376"
"2016-11-01","188"," 48"," 31","119","  1"," 20","253","660"
"2016-12-01","172"," 43"," 35","104"," 13"," 18","235","620"
"2017-01-01","258"," 30"," 57","281"," 76"," 15","261","978"
"2017-02-01"," 453"," 102"," 106"," 987"," 287","  52"," 364","2351"
"2017-03-01"," 750"," 543"," 212","1078"," 231"," 206"," 669","3689"
"2017-04-01"," 135"," 202","  59"," 173","  43","  66"," 401","1079"
"2017-05-01"," 46"," 74"," 17"," 86"," 16"," 12","339","590"
"2017-06-01"," 28"," 10"," 13"," 47","  3","  1","227","329"
"2017-07-01"," 22","  2","  8"," 46","  2","  0","231","311"
"2017-08-01"," 21","  6"," 12"," 92","  1","  4","218","354"
"2017-09-01"," 51","  9"," 16"," 69","  1","  9","205","360"
"2017-10-01","121"," 14"," 35","105","  8","  3","330","616"
"2017-11-01","206"," 32"," 43","143"," 50","  6","354","834"
"2017-12-01"," 142","  75","  49"," 261"," 211","  19"," 267","1024"
"2018-01-01"," 341"," 243"," 182"," 890"," 335","  59"," 572","2622"
"2018-02-01"," 181","  80"," 115"," 332"," 188","  30"," 541","1467"
"2018-03-01","108"," 28"," 45","180","182","  5","447","995"
"2018-04-01"," 51"," 14"," 36"," 65","108","  7","327","608"
"2018-05-01"," 52"," 14"," 25"," 72"," 84","  8","319","574"
"2018-06-01"," 35"," 10","  6"," 44"," 36","  2","229","362"
"2018-07-01"," 31","  9","  8"," 54"," 33","  1","301","437"
"2018-08-01"," 45","  8","  7"," 60"," 33","  4","400","557"
"2018-09-01"," 78"," 11","  9"," 77"," 75","  1","541","792"
"2018-10-01"," 206","  37","  46"," 139"," 102","   6","1087","1623"
"2018-11-01"," 238","  72","  91"," 221"," 316","  15"," 678","1631"
"2018-12-01"," 366","  99"," 149"," 346"," 369","  61"," 547","1937"
"2019-01-01"," 776"," 392"," 223"," 774"," 929","  65"," 866","4025"
"2019-02-01"," 740"," 286"," 181"," 726","1154","  44"," 640","3771"
"2019-03-01"," 555"," 190"," 114"," 655"," 794","  39"," 498","2845"
"2019-04-01"," 207"," 127","  41"," 462"," 251","  34"," 379","1501"
"2019-05-01","106"," 47"," 25","189","113","  8","347","835"
"2019-06-01"," 59"," 15"," 13"," 83"," 40","  1","400","611"
"2019-07-01"," 54"," 27","  7"," 59"," 33","  2","331","513"
"2019-08-01"," 24"," 11","  2"," 38"," 30","  3","201","309"
"2019-09-01"," 47"," 23"," 10"," 59"," 31","  1","213","384"
"2019-10-01","141"," 43"," 49","130"," 89","  3","446","901"
"2019-11-01"," 218","  70","  83"," 185"," 119","  18"," 412","1105"
"2019-12-01"," 420"," 234"," 153"," 282"," 222","  19"," 468","1798"
"2020-01-01"," 624"," 422"," 149","1435","1347","  41"," 677","4695"
"2020-02-01"," 377"," 234"," 118","1130","2343","  30"," 628","4860"
"2020-03-01"," 377"," 376"," 121"," 866"," 945","  28"," 775","3488"
"2020-04-01"," 66"," 75"," 59","355"," 63","  1","199","818"
"2020-05-01"," 66"," 32","301","299","  9","  1","130","838"
"2020-06-01"," 64"," 18","136","231"," 10","  0","141","600"
"2020-07-01"," 93"," 25","  1","274","  6","  4","153","556"
"2020-08-01"," 72","  6","  6","273","  3"," 17"," 84","461"
"2020-09-01"," 78","  8","126","267","  9","  0"," 44","532"
"2020-10-01"," 58"," 22","  1","172"," 24","  0"," 78","355"
"2020-11-01"," 80"," 71","  0"," 26"," 37","  0"," 53","267"
"2020-12-01"," 92"," 72","  0"," 37"," 13","  1","166","381"
"2021-01-01","  43","4290","   0"," 135","  46","   0","  66","4580"
"2021-02-01","   9","3134","   0"," 127","  42","   0","  66","3378"
"2021-03-01","   5","4424","   0","   4","  23","   0","  39","4495"
"2021-04-01","   0","3651","   0","   2","   4","   0","  30","3687"
"2021-05-01","   5","3648","   0","   1","3079","   0","  54","6787"
"2021-06-01","   1","4111","   0","   2","4366","   0","  49","8529"
"2021-07-01","   2","7409","   0","   1","2396","   0","  64","9872"
"2021-08-01","    3"," 3563","    0","    0"," 8834","    0","   11","12411"
"2021-09-01","   1","3104","   0","   1","3577","   0","  25","6708"
"2021-10-01","   5","2955","   0","   2"," 108","   1","   6","3077"
"2021-11-01","   2","1679","   3","  11"," 100","   2","  17","1814"
"2021-12-01","   8","1606","   7","  58","  10","   3","  58","1750"
"2022-01-01"," 32"," 38"," 28"," 74"," 35","  0","210","417"
"2022-02-01","11"," 9"," 2","24","22"," 0","27","95"
"2022-03-01","14","19"," 5","12","20"," 1","15","86"
"2022-04-01"," 4"," 4"," 5","14"," 0"," 0"," 1","28"
"2022-05-01","25","13","11","29"," 9"," 1"," 9","97"
"2022-06-01"," 68"," 19"," 20"," 50","  1","  4"," 31","193"
"2022-07-01","16"," 9"," 8"," 2"," 2"," 0","19","56"
"2022-08-01","14"," 0","13","11"," 1","19","40","98"
"2022-09-01"," 20","  4"," 15"," 23","  4"," 27","109","202"
"2022-10-01"," 30"," 37"," 64"," 78"," 16"," 39","140","404"
"2022-11-01"," 230"," 344","  88","1133"," 468"," 108"," 129","2500"
"2022-12-01"," 381"," 550","  92","1243"," 440"," 158"," 105","2969"
"2023-01-01"," 227"," 167","  69"," 417"," 170","  56","  72","1178"
"2023-02-01","169"," 52"," 10"," 80","135","  8"," 35","489"
"2023-03-01","126"," 56"," 37"," 52"," 69"," 19"," 27","386"
"2023-04-01"," 60"," 68"," 22"," 49"," 45"," 13"," 16","273"
"2023-05-01"," 84"," 67"," 18"," 84"," 37"," 25"," 15","330"
"2023-06-01"," 55"," 21","  8"," 50"," 10"," 16"," 10","170"
"2023-07-01"," 36"," 14"," 13"," 36","  9"," 13","  7","128"
"2023-08-01"," 56"," 24","  8"," 60"," 20","  7"," 17","192"
"2023-09-01","147"," 21"," 25"," 66"," 31","  5"," 54","349"
"2023-10-01","167"," 36"," 14"," 45"," 29"," 19"," 73","383"
"2023-11-01","192","122"," 54"," 91","224"," 39"," 96","818"
"2023-12-01"," 194"," 189","  40"," 242"," 398","  61","  60","1184"
"2024-01-01"," 337"," 423","  79"," 559"," 325","  61"," 200","1984"
"2024-02-01"," 240"," 321","  95"," 329"," 185","  42"," 155","1367"
"2024-03-01"," 240"," 248","  97"," 257","  73","  52"," 122","1089"
"2024-04-01","154","165"," 73","189"," 67"," 44"," 60","752"
"2024-05-01","114","130"," 70","126"," 43"," 39"," 93","615"
"2024-06-01"," 35"," 44"," 29"," 66"," 33"," 15"," 56","278"
"2024-07-01"," 53"," 25"," 12"," 24"," 28","  9"," 98","249"
"2024-08-01"," 32"," 11","  4"," 24"," 12","  5"," 73","161"
"2024-09-01"," 41","  6","  3"," 17","  9","  0","108","184"
"2024-10-01","108"," 17"," 15"," 23"," 14","  2","293","472"
"2024-11-01"," 90"," 37"," 27"," 31"," 30","  2","273","490"
"2024-12-01","160","109"," 95","156","140"," 13","300","973"
"2025-01-01"," 427"," 572"," 290"," 530"," 348","  65"," 468","2700"
"2025-02-01"," 296"," 450"," 107"," 550"," 218","  31"," 212","1864"
